"V1","V2","V3","V4","V5","V6"
2459,655,681,1738,283,1944
1057,269,1892,1456,3214,457
3342,1550,2601,257,1113,2937
2875,1603,564,1153,2248,1044
2142,2324,1754,3161,101,3171
3220,1755,1143,741,3289,17
1804,1820,2491,1461,598,2557
3300,424,2329,1113,2590,2937
780,254,2948,209,448,2040
745,3231,2700,2336,3275,2425
2978,166,984,1155,3048,1164
1197,3519,673,2434,1252,1362
1706,2972,397,2403,2546,3059
3296,2040,1431,204,780,514
2876,1598,2994,234,2441,1065
423,3425,769,2615,944,2429
1522,2991,2803,2661,57,107
482,245,841,3102,2975,270
975,339,937,3257,268,1615
1753,2531,2358,2899,835,529
812,398,3446,534,365,611
1486,185,1840,1926,1471,3169
3155,3157,1162,3164,1995,1031
3475,156,3269,2552,555,999
2892,1915,847,2169,2123,2963
470,1288,827,1905,606,519
109,929,3442,2444,1256,668
1092,1372,3163,3509,1854,2649
2289,2126,3258,488,785,725
138,1882,778,764,864,2738
3242,806,1892,2737,3214,1213
692,1855,2727,1133,3246,1595
2076,35,1048,1374,1086,1477
3325,2581,1148,2845,2802,2594
1678,858,1140,3035,2245,2012
1015,1960,1450,788,1068,3094
3411,357,746,3410,1768,1956
304,1081,590,3439,2122,819
2235,1598,2876,210,2207,1782
410,2916,2882,2246,3502,952
1793,437,2710,1176,119,503
2038,2232,644,2449,106,628
1792,160,261,2857,2003,1687
2417,1258,619,3507,1572,1519
3003,696,1797,3276,1690,1548
807,2731,940,733,280,2034
378,2595,1128,1786,2660,3022
1847,946,2830,504,2445,2111
486,3483,2647,3183,1079,157
3102,213,3092,482,143,2657
1948,3397,2530,1290,3179,6
1435,794,2151,3264,1203,2268
665,1570,1064,3037,3368,896
1256,1266,929,660,2091,2364
27,2695,1642,2135,1607,468
585,2103,3456,3317,922,3329
1770,2804,1304,722,2018,3369
3472,1934,3067,1438,446,3116
2535,204,1827,2920,448,2040
2783,1027,1972,3329,2361,2821
2189,2148,3389,732,888,530
2778,3521,198,1113,337,1550
66,1771,3235,495,3096,2030
1857,1631,1484,3274,162,42
2434,2751,355,1362,2736,2940
948,2003,2309,953,238,1792
1924,2650,2037,1587,2074,1666
912,1465,661,1485,2796,336
1729,1898,2687,1632,698,2729
175,194,1433,2448,2879,1542
2821,1081,1027,2440,2655,3076
1050,2427,518,2614,342,2176
937,3336,3015,339,2971,214
197,3214,457,854,1892,1456
1803,3102,964,3112,482,143
2021,3287,401,46,1737,2237
1077,2767,662,1851,3052,2956
3380,3263,1923,935,2966,2670
403,2668,3179,3515,1137,1673
413,2579,1930,3190,2949,3457
2932,3323,1450,1068,1860,854
552,3124,3288,1743,1074,1396
1938,893,813,3331,29,991
1504,2300,1914,2072,1499,1810
2034,2155,3061,241,1619,940
1585,777,2786,3526,2017,137
171,149,432,3466,2674,2928
1944,3173,1186,196,2521,655
1114,680,1181,1342,1025,1380
579,2351,890,2658,2065,2631
577,1202,2260,490,861,2799
823,1049,3333,3347,625,3413
3011,1214,1147,2534,1966,1497
3480,378,510,1695,2196,1693
1043,2546,161,1943,381,3384
1494,2049,2583,851,822,3312
3455,651,3313,352,31,3305
3414,314,3224,1823,72,3119
742,513,3203,2473,1558,2780
678,1908,885,463,1273,3027
3267,566,1087,1794,2073,3168
2197,993,393,103,1323,1760
695,397,150,2972,2580,3219
906,147,726,3082,2311,1415
521,1605,2498,2639,3451,2962
56,902,2877,1129,1541,1606
1902,3518,2397,2686,593,2847
2140,2931,969,141,2984,923
3402,233,1862,177,590,2122
3008,2061,741,802,17,2800
1283,3175,1409,2850,3221,3026
2323,870,353,1977,1996,1204
557,1948,368,1549,2717,22
1120,1193,1627,1727,1522,2494
3022,2528,2665,522,917,3133
2707,2191,2401,1688,3172,2173
2918,2341,1327,1095,364,1971
2335,44,913,2525,1883,2192
2965,72,293,1921,3224,2806
