"V1","V2","V3","V4","V5","V6"
1701,1757,3056,888,2982,512
457,269,3323,197,1860,276
2369,1619,1218,2098,2155,2653
630,2648,518,25,2614,748
1698,3404,3049,3378,3236,799
230,1678,3035,2779,2522,2110
947,3057,771,899,2894,2370
796,2074,1008,544,140,2650
2799,2679,286,112,358,1202
2346,367,2265,165,2372,914
2971,2466,2383,901,3169,1038
3403,778,1652,1882,396,225
1385,2457,1713,1122,1061,1159
82,682,1618,2547,1124,2319
2903,1347,2400,349,1404,563
2736,954,3275,2807,2751,3191
1066,2625,3376,1,2533,3091
307,2851,1996,1204,1303,556
3128,2120,3120,2023,1004,478
2250,3146,1226,656,3394,1942
2186,3358,1453,3196,2394,3529
76,1716,2144,2033,1692,461
743,2246,399,410,3006,235
908,612,1191,1739,3247,408
1966,1007,2524,1497,911,104
724,3213,1265,2148,1472,3204
1315,2299,3047,3063,111,1612
1562,2277,702,2214,2905,1825
1616,3428,524,3055,1374,1314
1238,2672,3044,2108,465,3014
132,1322,2611,1092,3288,1074
1003,1644,2480,2550,1211,1274
2986,1273,678,295,1547,389
687,2968,1078,1891,1579,1715
904,1093,1975,2867,2379,1275
3056,1757,3389,853,256,2189
2635,2926,547,1979,1042,3138
2658,2692,285,2278,2556,2631
3175,1035,1546,1308,829,323
1959,96,1945,2519,1742,738
278,3074,29,438,1339,991
2367,605,2723,2585,3424,1125
2042,2906,2597,2819,3150,2261
2407,1064,3471,1574,665,2980
2997,2640,2983,733,2104,1116
2117,491,1545,3412,2854,1750
409,3057,362,859,1134,947
1376,657,2024,3088,3106,1527
786,2971,863,2383,2874,937
301,56,1129,1767,804,120
1485,1335,1465,2933,2539,631
887,3202,2867,1093,2109,1000
1156,439,3413,1472,3193,3204
299,2572,3082,2311,2740,2121
1078,2451,1955,1891,3512,2605
3251,876,1774,2360,1191,1739
1083,832,454,37,1533,2696
2990,544,1392,1987,796,1157
104,919,2524,877,1079,157
263,1037,2796,336,129,1238
707,313,484,44,183,2192
1651,165,3319,2346,1115,862
1348,775,2284,2128,1899,2910
481,2656,3100,3007,928,763
3133,522,2735,310,1677,2665
1344,2210,1152,3492,1110,2327
2524,2116,911,2606,1090,157
633,1082,184,3029,415,1686
1170,1054,419,1871,43,3418
3317,1415,251,599,2103,147
2924,141,3330,969,3279,303
441,3071,1604,97,1861,1127
3078,1292,2362,971,2659,1969
3141,1665,2883,1121,3318,444
585,34,346,1371,2125,3077
2106,763,3152,916,1556,3100
222,2091,668,2551,249,1256
1629,1439,1224,1507,2421,2647
2344,2380,1703,118,3371,1553
1932,1658,2959,1018,3514,1041
2516,1496,1117,637,1904,2586
664,2627,119,737,1089,1793
2670,710,273,1466,2693,3263
2694,3011,838,126,2967,3420
268,2874,2971,214,901,975
3406,789,568,2805,3261,1051
551,1481,992,2273,2172,1853
1506,3137,241,807,2155,280
2438,3291,3140,3097,68,1390
2028,2776,1008,1140,1392,796
2208,2303,637,1496,3107,2865
769,2702,1656,3425,1931,211
2048,1053,2406,1161,2766,1017
3014,243,2108,3430,2830,504
1283,859,2894,2370,3057,771
261,2320,3165,1792,1063,2309
2152,1610,418,1442,2755,1813
715,2673,1055,2745,2857,1289
3521,2747,3229,1759,2497,1169
1539,2246,2916,366,235,3027
2309,3020,261,2858,2003,3228
3275,2425,868,1393,1830,3191
760,671,746,1903,1388,3411
1609,2909,3209,2485,1578,3274
2302,2271,2014,2806,2423,1676
348,1245,1430,3511,2605,1663
3225,1372,2149,3006,3270,2013
2,1905,827,440,3437,528
714,3324,2722,3359,1560,334
4,2870,1189,3484,3114,2584
104,3481,1007,11,3400,2107
2517,482,1803,270,3314,713
324,3488,2819,47,2261,1751
669,2029,2611,2944,1100,1869
1747,1020,1968,1873,554,1884
1483,1013,374,589,1819,2950
303,1193,923,2924,2661,2984
792,3222,1500,1304,2862,1262
1969,2362,1604,1292,1861,925
12,39,501,2977,826,2041
2089,1684,2470,1976,618,99
1588,847,2313,193,2892,1320
1172,214,2874,640,937,3257
1798,1151,2063,3353,2324,1806
2240,2092,1011,979,1023,3417
1511,617,2113,2887,2420,2734
3417,84,3398,2484,977,2092
1483,523,2335,44,368,2717
2294,2651,121,136,433,49
1531,1933,3486,1368,3260,340
188,677,2793,1540,1443,1032
3048,1480,206,1150,2114,166
2908,582,113,1639,1368,2418
1228,1770,563,2178,2058,624
187,43,3176,3063,3498,419
447,71,1112,515,1381,2343
3195,1016,2450,1530,1543,58
2446,402,1632,623,3134,1729
1339,813,115,893,810,278
2273,939,3128,1853,2354,1449
2090,103,297,2752,3109,1323
631,1534,122,1335,2999,1736
1282,3158,3233,3515,3040,1906
509,2428,721,2340,421,3372
493,3363,2333,1216,1381,3039
2901,1697,26,112,1911,358
2552,3253,156,2954,219,1210
2109,3223,904,2132,1621,2867
2413,52,1085,1351,1277,3205
1763,2586,2303,2052,1071,1496
884,1241,1211,1274,2146,1799
478,1449,86,871,3382,3128
3244,1154,2507,735,2263,1682
3373,813,2359,1938,2350,1144
3126,1497,3400,877,963,104
1073,942,140,2776,796,860
355,15,3038,2468,2412,683
3508,2355,2520,3029,3452,1645
1023,152,2188,977,481,2092
2229,1733,3470,2846,40,3340
968,1636,2009,341,374,589
53,654,445,18,3235,2170
343,231,788,1068,1450,1960
989,606,1543,58,2644,470
2766,1109,1161,1174,945,644
88,1041,932,2450,1932,1543
1429,67,584,2099,2533,1085
967,3208,3073,2080,1968,1873
2846,2804,3470,679,792,2022
1974,2158,2363,95,1363,420
517,1011,2794,2240,2188,977
1669,1834,146,1879,2452,3388
2789,2509,548,1181,1114,284
1769,2463,2368,2265,3068,2314
255,3076,506,266,2361,2821
1675,1364,391,1569,1844,1407
2448,1433,837,2043,265,2088
599,726,142,147,2366,3458
3016,3108,3164,543,3155,218
1540,3327,677,65,1248,983
3216,1284,1858,2697,2529,1357
1893,1717,1493,696,2775,3276
891,581,829,2039,323,1807
3496,487,3302,2834,2683,751
912,3053,1238,2672,2062,129
3169,499,2383,863,1486,1508
3361,1539,463,761,3027,1937
3480,3309,3245,3478,510,1695
2445,1018,1658,1847,932,2450
547,3005,535,1728,2926,889
2546,290,3042,161,1706,3405
2248,1936,199,842,1603,1149
3464,2218,2316,1314,1345,2365
2815,1267,2930,1099,2845,1377
52,170,584,2408,1501,3383
852,1477,228,3505,2076,3170
287,1370,625,3413,1730,3193
1313,267,342,2614,2176,2427
2719,3261,416,2467,568,938
3256,2664,1343,2365,2904,1816
2048,945,1730,1462,1161,1370
921,1170,583,43,1612,333
950,3392,2857,1289,1687,2159
1735,749,2802,2097,186,3404
197,1451,1892,1456,848,1111
2633,2555,2086,1167,1513,1199
426,1571,3046,1801,1229,3086
1829,73,546,2541,1330,1474
466,1159,865,2899,835,2457
3273,1487,1432,2616,3477,3153
1792,3018,948,2745,2320,2941
896,665,2980,248,3471,1574
2295,2441,2064,1598,2322,210
869,1,1852,3376,2625,2816
3208,1394,1732,2589,173,1617
1450,616,1015,2932,343,2330
3019,2272,376,731,1568,2479
3301,2242,1492,1838,828,1946
2264,2052,2586,1329,1002,1379
2462,1495,1983,2082,729,1731
1008,2776,3378,140,1384,2097
1854,3288,3124,1092,277,883
1653,1761,1329,195,1325,1379
174,1814,3304,1639,1444,2418
272,580,662,1851,3356,1421
907,1579,1891,2451,886,687
157,11,244,911,104,3483
3215,2054,505,1183,3360,94
233,266,2655,3076,819,3439
920,341,1636,3316,415,1686
909,556,454,37,2851,642
1623,2356,2285,3499,3170,2217
584,1277,67,1001,1019,52
1374,3135,228,1616,35,2919
2081,3168,2873,296,1758,3267
2848,2195,1225,1789,2527,1182
1358,1793,664,934,3017,636
157,2337,486,919,3072,2116
2093,1173,158,3489,3310,1354
883,223,1322,1074,1854,2649
2436,3202,887,904,774,2379
2915,1958,2356,1584,1623,2489
2974,1971,387,1702,312,2918
663,2395,1874,648,3203,1491
169,2785,2219,13,1789,1182
436,1895,24,2620,3278,191
1377,2385,2815,1046,3131,2446
1869,672,966,669,121,136
1402,2748,1739,1190,3251,5
816,1156,1447,3280,3333,2297
2679,2671,3332,2759,2275,3118
2312,3177,653,1806,2625,2063
2476,1677,564,2699,1153,1468
1663,2227,348,1994,1910,2292
2483,2377,1813,1610,602,740
1559,317,2345,1291,1952,2325
1161,1575,1017,1425,644,628
2327,41,918,1546,1344,829
1580,1456,1451,2432,1057,1166
1381,1747,493,988,2396,71
2778,2937,257,203,198,3300
284,2826,1342,1025,3450,548
3319,3230,2929,165,2512,914
2104,1807,2983,581,897,2409
3510,458,933,1904,3034,2516
3201,1384,2028,2776,3427,3522
3408,2478,3528,3250,2157,7
309,2733,1627,1727,3295,1175
444,1713,926,3141,3301,2242
1713,1385,2242,865,1492,1537
3428,2489,1566,2464,443,524
2547,3381,1618,2946,866,649
3268,601,3424,2147,605,894
2287,676,1954,1438,2678,2503
762,97,441,2213,924,110
2196,2660,1990,242,805,378
902,1521,301,120,363,2877
3143,1210,3207,1470,2768,2704
2838,684,1994,2274,2532,3294
2484,2485,1591,84,1609,2154
692,1331,227,2727,1628,3281
2894,362,2571,3057,1785,3046
3023,412,1647,1237,459,1634
2145,2599,2514,1431,1586,1776
2282,3179,1998,403,3397,274
2059,442,699,124,3098,167
424,3431,127,1597,1699,3031
3035,230,942,1392,2012,2028
1783,3445,2113,3418,1638,1726
1378,1199,2772,92,2555,525
560,474,2304,3289,201,3220
3482,1938,3373,1354,1006,3310
1981,471,2014,179,1676,3365
1561,795,3491,117,1360,2593
2534,2967,1512,288,3352,3011
1817,2802,1735,229,472,3325
842,1936,1044,2248,3265,1603
2114,347,984,3166,3048,1563
3353,2324,976,316,1798,3182
2327,404,918,2560,3492,1850
564,2981,1105,199,1677,1603
3244,1005,2891,735,1980,2705
2274,1164,1880,3294,206,166
1102,905,3333,2297,3413,1472
2349,1987,544,3073,910,1873
359,793,3492,2995,1850,124
1061,3141,845,1713,865,835
181,1985,416,408,2467,332
1109,1425,945,1017,1730,1053
1995,427,2527,218,435,3157
3355,1800,1727,1437,2714,2494
2784,456,1155,2274,2978,206
2749,2043,325,2075,837,1668
1860,2330,2432,1456,2506,1111
1199,1700,1058,3121,2086,2253
1865,685,489,3326,709,1967
1635,1369,2747,2829,3229,951
921,1054,2889,583,1871,1704
543,2844,3164,1594,1549,22
975,3431,2874,640,371,2398
2093,1091,2887,3489,617,2762
739,644,2766,2038,1017,3154
2925,1727,2733,464,1800,1120
503,74,2370,236,771,437
508,3474,2623,1519,193,1219
3395,3484,453,3238,2211,4
2165,96,1959,1417,846,3045
1766,1220,2030,66,162,1916
680,1722,1025,284,319,2509
2317,1789,2195,13,1088,1097
94,375,1080,3377,2054,116
1721,2301,57,810,107,115
3309,629,3478,1040,473,3245
2521,808,3117,283,1944,734
2824,2559,1647,2750,459,2005
2726,2775,2801,3189,1205,3009
2584,1440,962,571,3484,453
5,1563,1787,1101,347,1402
2360,408,181,876,1251,908
2068,1687,2107,2378,160,3392
969,309,1522,2494,2924,2661
2803,2754,2953,2808,1627,3295
1262,1420,1708,2460,1500,3399
3174,1401,1962,843,3246,3469
2336,207,2721,3231,673,2434
54,2342,704,3467,153,1224
1167,1142,2555,525,1058,3121
1822,3464,2810,1414,3256,2921
1725,2629,2031,573,2429,1337
163,286,3118,2679,490,861
495,2268,2151,1771,2079,247
556,1977,870,540,307,2146
744,2801,1849,531,2775,1188
613,6,1998,3449,3397,1300
757,2037,83,2577,2568,1924
2994,2266,2183,1215,765,3524
1236,2281,2715,601,1261,3160
3143,1130,2954,1470,2552,999
2480,1799,1268,1003,2026,884
2798,1679,1232,1592,2251,2248
2737,806,1620,226,2298,1701
2712,288,3126,1497,2454,2534
2183,2266,2992,1208,3338,3448
2333,2600,2842,997,1868,3363
1711,2034,2731,8,2001,2855
2627,2155,664,2369,855,3137
1519,2841,508,2864,1177,1258
1180,1766,66,2168,535,1728
3064,79,2217,3499,2007,382
1312,173,1601,2389,1732,1459
2987,3209,3443,3423,2306,798
2421,3467,930,2342,1629,1198
1272,2527,1995,1088,511,2848
872,3394,1935,3146,656,2157
2415,652,2659,3287,3078,46
1657,986,349,2101,563,2178
3046,409,1571,362,1059,1134
1633,1421,3042,2472,754,580
16,2816,3362,2099,3069,1429
2518,1212,2798,2251,175,1592
3072,2397,1902,3440,3454,2337
3144,1564,2392,1856,1441,2973
130,1903,1377,3134,671,1267
1209,393,2715,601,1637,2147
422,1634,3023,1135,1302,492
2672,882,2796,3044,1037,912
3400,3126,3228,3020,2712,1654
26,1577,2898,2901,1812,1436
1003,2051,1799,688,540,2146
1316,1273,3502,2207,1908,3322
1745,155,1870,2900,2181,2958
3354,3151,3043,1624,608,2602
958,1430,3511,2605,1663,3284
2779,2392,2110,3436,2343,3144
315,331,602,641,740,168
65,1901,2939,1032,1824,3327
1444,3021,1886,2654,1809,2249
1295,141,2212,2931,2917,2564
181,1803,2517,2360,2461,1191
673,3354,8,207,2855,3519
450,1333,729,2082,3349,809
2275,3118,3198,163,468,3520
1788,1707,2514,2145,2758,840
2444,249,222,776,929,660
1590,2928,2732,2618,149,2787
619,2864,239,30,1519,1219
2917,1537,2691,1295,1982,1385
2010,2603,1403,337,2087,1550
2380,2715,1643,3379,2281,1209
2862,1195,811,970,2460,1500
1603,3265,2981,1936,1153,1044
1963,614,568,2719,730,2224
2422,878,85,3213,2297,1472
249,1613,2091,2364,3350,1744
1046,671,2845,1377,2594,1235
1862,2026,3393,590,1211,1799
2961,3217,3318,1338,2883,55
2780,1738,2999,2840,681,1534
2300,320,2020,1835,1976,1299
1561,1225,144,511,1445,2848
885,1242,1908,3322,295,1547
2146,2550,1003,1977,884,50
1975,2379,1680,690,887,2053
1291,2742,2325,317,2209,2526
1754,1085,2142,2413,67,1001
2354,833,356,3120,533,2613
2640,689,2997,380,2001,1416
479,3343,145,2746,3426,2947
2800,3104,2061,2565,570,3243
995,1594,3515,3158,2668,2844
306,947,1409,2850,2894,2370
2613,1033,3308,356,2697,2529
1397,577,2637,527,2293,1352
677,2651,1565,3327,49,610
328,3472,2768,2503,2704,2537
470,221,1905,2102,2956,428
3506,2159,2673,2290,1055,950
6,368,246,523,1948,1872
317,1276,2280,2742,1559,48
925,2511,971,1969,2362,2662
1855,2047,692,1668,2075,325
2092,2257,152,84,1375,2154
2457,1250,1385,2917,1259,2564
1467,1545,560,1911,474,2117
33,1640,1371,3272,34,2193
77,521,662,3075,3052,3197
2020,3298,828,320,1946,1271
1872,3449,3226,6,2996,1206
166,1880,1480,984,1155,2809
492,2177,1237,3226,422,1350
2050,1996,2573,2851,2004,870
722,1500,792,970,252,2804
451,1316,1782,2882,1839,2989
2282,3048,3367,1787,2978,347
501,3321,475,39,2256,1353
3026,323,891,2179,3175,3017
3260,1700,2024,657,2554,2544
177,133,3402,3416,562,1324
3331,3237,2093,29,2887,2734
1222,173,2314,2080,2389,2463
2561,1050,1816,851,342,2176
1345,3055,1616,1045,881,2218
108,879,3347,187,3047,3063
1242,1305,3502,2207,1782,2882
505,1703,176,2426,2054,2344
3289,474,2888,1482,1545,2854
2355,153,2976,2678,704,1954
193,51,974,508,847,595
387,2372,2482,2974,2390,2346
132,883,2649,1092,526,1503
1760,3109,2419,297,3351,993
562,2376,3461,1310,3290,133
716,195,579,1761,2658,1075
2977,1596,39,1452,1353,1346
1929,364,60,312,498,2918
533,2905,384,833,2277,691
395,1379,1071,1075,2264,1653
1474,2604,1060,1867,1829,2405
1940,1133,2036,2166,2727,1628
784,3316,532,341,589,2993
3390,3349,2331,1253,450,1582
3520,2521,98,3198,2587,3173
903,1736,649,631,994,2933
3370,386,2375,2358,3227,529
3441,2429,2629,1661,3425,1201
430,55,2961,1269,1818,760
991,536,115,893,2628,3074
2504,1885,411,3002,3379,2758
432,171,1672,578,282,2674
3450,1380,2056,1114,284,3066
2475,2810,1052,3256,3259,2904
918,2210,2943,440,1110,41
1314,2921,1616,1045,2919,3464
1452,2895,1326,1682,2890,1596
867,2132,1404,563,2109,2058
915,2385,2284,2128,425,1832
2195,3000,435,3386,2279,2317
3139,2486,3226,3449,2177,1302
2408,3205,1001,724,3213,52
2799,527,577,1720,1285,2684
39,15,1307,1326,3321,1596
3310,538,158,3482,1144,1091
614,2209,2742,3314,713,3065
2504,1894,840,3371,2374,1643
7,2697,3216,708,1033,2134
3137,1089,1506,2179,664,3017
1926,326,1486,1526,400,1508
144,3491,1561,477,1146,10
9,2519,3461,1765,3290,1959
3038,355,2434,260,3519,207
2363,3315,1974,2124,1022,2496
1028,1984,1844,1407,2443,3232
1728,3007,2168,3005,2791,814
2417,3365,1928,3192,1883,471
1588,659,3004,1864,3025,2623
113,340,982,582,1933,985
2730,715,1169,1635,2941,3229
1049,1462,1730,3193,2856,1053
3033,3077,1297,1640,927,34
959,223,3270,2013,3163,3509
2709,2081,3036,2162,2705,2174
1086,524,228,1616,2076,881
2791,335,152,2257,2656,1294
1811,900,2922,1527,2226,3088
3134,1235,1099,2446,1267,1046
1142,2060,2772,92,3,1748
1329,3156,1761,2052,1071,1075
1342,1972,2783,680,2056,284
3039,1112,997,447,493,988
1927,2199,646,1656,697,1931
3263,2867,1986,710,1975,3223
1118,2097,1073,749,2776,3427
865,1295,1122,2457,1537,1259
1513,3115,1498,2540,2555,2772
2767,3248,2498,428,528,3451
3411,2594,955,2835,2581,671
363,2222,1521,3525,354,2843
2502,3097,2438,86,941,3382
10,2537,3491,1951,328,3339
796,3035,1140,942,910,2990
2471,954,154,2425,473,1830
1732,834,1067,572,1617,2577
2873,1446,1542,3168,1965,2088
1743,2201,3124,2332,277,1428
2711,1285,2706,3415,2637,527
2871,3094,2083,2283,2131,2115
844,2269,3142,3391,3180,2477
2250,1942,2964,3146,656,1448
1625,1196,2410,345,1962,843
1101,3099,1563,1947,1190,3251
2087,1607,98,1260,2695,2603
2400,2109,2743,3202,1347,867
2899,2430,466,1753,2239,2757
1422,2310,2449,106,2781,2942
1569,3232,1364,2291,1028,2756
2601,3342,3409,2167,520,1538
3221,2894,2560,2571,306,1283
2381,1576,102,1674,2249,2424
182,3079,2244,3334,2153,3307
1517,690,2820,1680,47,1751
2348,3382,1853,2764,3097,1449
2921,2465,542,1200,1822,594
922,2311,2103,147,299,2440
3262,2001,689,100,1279,1711
2740,3239,1179,846,3098,2165
2394,352,1690,651,1453,1797
699,2852,442,3458,768,1949
1708,1195,21,2689,3399,2416
89,2472,1851,1230,580,1077
351,1406,674,1907,2449,2942
3368,785,723,3513,2836,2126
1454,2819,698,2906,388,3488
1575,108,1161,1109,625,1730
679,2203,2229,2315,2846,1466
2698,2646,2216,2015,1842,3188
2585,2332,1743,605,1396,2739
1019,3069,584,2099,1501,1231
2605,3284,1955,958,1245,907
514,1776,2145,1136,209,2040
1487,3477,3238,3153,1062,3184
2448,265,837,1029,1542,2088
2538,2013,2180,3509,3006,2649
247,2583,3264,2575,2151,1494
2610,3140,2898,68,1577,1240
2714,1724,69,1163,169,1800
3116,2503,253,2287,3472,1126
930,2011,2421,2647,2501,3183
571,3132,1189,2106,453,2211
646,697,2392,2889,1564,1234
1649,3032,2716,1813,949,2152
2793,1565,2331,677,1582,983
3021,1249,3304,1886,1814,1076
2848,2593,1272,1516,1561,719
1395,2156,2663,2617,1965,2088
3407,3333,1691,816,1102,823
405,2964,1825,2321,2214,3255
1853,1004,3382,3128,1413,992
1068,1015,2932,231,276,343
1057,3218,848,1111,732,1580
1346,1734,1326,1682,2977,2263
352,2394,3529,3305,873,2186
2773,1424,2687,2326,698,388
2551,191,2431,2091,3350,24
1111,457,1057,197,1166,1860
1608,2084,2492,2290,643,3495
3154,2115,739,2607,675,373
2389,820,23,3271,1601,1222
1638,2781,2774,2310,2762,3445
2491,2221,2255,202,414,1820
2432,1370,2048,1053,1580,2856
3054,3085,693,2676,2090,2153
3474,1796,1864,3507,1752,3192
2933,263,2035,903,661,1485
2693,2315,935,679,2670,1426
2129,2898,1296,26,560,1911
3133,2699,1677,2665,1105,3041
2596,2951,2455,1900,2133,2545
2954,1130,117,1210,795,2704
1926,1646,217,3194,377,185
2297,3204,905,878,1156,1265
3451,2852,3248,1605,2366,632
1330,2822,1060,1867,73,3050
529,55,386,2531,3217,3187
3181,2045,1767,2243,500,1502
2490,801,1048,35,228,3505
63,167,3125,1801,1683,2059
603,2666,2094,2230,3446,365
984,166,1301,1710,2114,206
551,939,2439,2273,1858,2529
627,2888,3289,1318,3105,1755
968,980,1819,2950,2717,2335
162,2257,335,259,1857,1766
336,903,263,391,1465,2539
217,1508,3169,1038,1359,1926
1432,2616,3153,3184,1062,3273
3050,791,2371,2782,2822,2241
3435,3185,485,1907,420,2305
180,1997,3130,2306,322,1718
467,648,2395,3084,1096,2339
1537,1070,2242,2690,1122,1946
2775,1717,1849,1893,1689,1034
291,2575,2583,851,1435,2176
1983,586,2645,1072,615,2462
637,2303,933,943,2586,1002
3126,1007,1966,877,1214,288
2540,1386,2215,2772,3,3266
3475,1914,2691,1504,1982,279
1304,722,970,1708,1195,1262
575,584,3069,170,1429,1047
1767,56,500,1897,1476,3172
2649,526,2180,1322,3509,132
2552,279,1499,1810,3475,3143
2863,2716,1520,2244,2057,3307
940,1358,807,3137,1514,2179
2647,3454,930,486,1629,3072
1486,1913,499,326,1038,1359
2358,1815,3370,1753,3468,2757
3130,641,315,3434,559,1997
978,769,2420,2734,3348,423
3352,3525,120,363,1147,2534
1386,3115,2633,3335,2555,1058
2983,2179,323,1807,1506,807
2402,2244,2863,182,1989,2723
719,1789,3010,1445,2848,2219
2818,3510,1412,2913,2820,47
2908,3383,1641,1524,170,2078
1219,3507,1177,1258,3474,239
2066,2029,2057,669,1505,2863
1129,354,1389,2763,363,2877
212,1627,2661,1193,2803,309
463,775,407,2435,678,3361
1639,2078,2908,1518,174,496
2566,2626,369,2696,1670,2085
400,3194,2133,1359,2545,1926
2922,558,2024,3486,1376,900
1777,2832,2760,545,703,344
1582,2793,2770,3206,797,2713
58,2574,89,2472,989,3195
2868,982,2554,2510,3260,340
2025,1858,2439,3216,2569,1964
319,37,1722,832,686,909
994,681,2999,1736,1270,370
1881,1740,3453,3212,2238,78
800,2436,2743,114,2622,379
1259,1492,1982,1385,2690,1122
3409,520,123,80,1709,1408
1039,952,3027,1937,2916,366
2388,1032,188,983,168,65
1606,1897,301,56,2877,1502
2088,2879,1395,1433,2873,265
2450,2644,88,1016,1018,989
767,2760,114,1777,379,2064
1296,2854,1318,898,474,2117
3221,829,1110,891,2327,3175
2837,389,3322,3186,885,1273
3276,3282,3009,3003,3189,3313
2530,22,1171,308,2844,1948
3342,198,337,2010,1260,257
3395,3444,1556,3153,3184,2211
3299,570,476,2353,2588,3104
2281,118,2380,3089,931,639
2173,1867,2405,3050,753,2401
611,1881,2256,2500,501,826
2211,3152,2106,1551,928,3444
2268,2204,794,2079,247,3028
2638,3203,1773,742,2395,294
317,48,1108,2345,1291,1952
2404,2722,3324,2255,961,2487
1272,1146,1360,2593,144,1445
880,779,702,2214,1626,2621
1190,3166,347,1402,1150,3099
583,1234,2889,1441,2973,787
1443,610,3390,1286,2331,677
1741,443,1123,3428,1841,2648
3490,3518,2009,619,148,30
2979,2171,376,2258,3019,2139
647,770,1407,1028,1675,2756
723,3368,3037,665,248,2373
1059,1229,3086,2771,3046,1801
483,1928,619,3490,2417,239
3457,2287,3116,3460,2579,694
3487,2980,896,3517,2407,2834
1425,1109,187,108,3176,628
1410,2600,1809,390,2249,2424
2610,1240,145,1436,479,1812
727,3209,1593,2909,2987,956
2451,1078,3101,2795,687,3119
1111,2856,3218,1462,1451,2432
2744,2597,2433,3150,2284,1899
1529,797,2331,3349,2793,1443
2473,2252,513,2907,3283,2459
1958,2076,2915,2464,852,524
281,137,2786,3526,2017,2071
3433,2514,3062,2374,2599,1136
2797,2074,3236,799,262,1924
974,1367,3025,2623,2313,193
2891,1794,3485,3267,2703,2174
1257,2569,2732,2618,2493,2025
2713,1609,3423,1132,2770,2484
1679,2798,2248,1212,2875,2386
322,3259,2987,2475,1578,727
3157,3158,1282,3164,1171,2844
2223,2727,3246,476,3174,227
2468,1326,2895,15,1353,1346
371,3031,2553,1139,36,3431
2235,234,3083,210,1065,2295
620,2880,2669,3060,2790,164
2414,3004,2259,659,462,2923
830,1222,1732,1459,572,820
2262,2261,2137,553,2042,324
199,1263,2981,1936,1153,1044
1861,3001,924,971,1969,3071
300,2366,3451,2962,1473,142
2877,1541,2701,301,2763,56
1642,1403,2695,2603,250,1833
1778,1457,2688,2046,643,3495
956,1591,3209,2485,3423,1132
2377,949,1107,1670,2755,1813
3303,738,2771,1742,3086,1945
333,3063,43,2299,1054,879
1712,1266,2437,3432,3350,1744
2592,2161,3326,737,685,2710
3219,3257,695,339,214,2136
881,2919,1374,1086,1314,1345
2577,2589,1394,2037,1067,1666
866,80,123,1124,2319,3381
855,3061,2155,2653,280,2721
2720,2298,1213,3136,2737,806
2132,2667,3223,2018,1000,3369
48,2444,109,2164,1831,2280
2356,1084,3170,2285,2915,852
2412,3519,2602,1244,3354,3038
1401,2198,2410,345,2663,2216
2474,702,2761,3147,779,1562
3295,1522,1194,1120,2803,309
3281,2166,1133,2515,1331,1664
930,700,3467,3454,1224,1507
2542,682,2741,82,3249,728
822,259,162,42,1916,2049
3131,990,2729,2446,264,1729
1230,2472,3405,2574,3042,3364
1237,183,412,484,1135,492
1169,2829,2730,1369,2562,2046
415,1013,148,1082,2009,341
2715,1760,587,393,411,1236
2113,1460,617,2762,3445,1141
1524,2418,985,1076,2908,174
33,1297,3033,1371,3197,2639
113,170,575,2908,1518,2567
1808,1607,338,250,1833,27
3379,3371,2504,1261,1356,2380
382,884,3462,79,2480,2550
1836,2520,3452,1951,3339,1010
1776,1471,377,185,2599,2920
383,459,3023,1187,1135,2824
1707,1788,2270,609,2738,2225
3032,1442,2057,2716,2939,1824
1974,1920,3315,2305,2393,2881
2918,914,1929,2974,3319,2346
396,3346,3241,864,3403,2357
2765,1075,395,1802,1329,195
1877,3228,2712,2706,1239,2825
1890,2493,551,2541,2439,2569
1931,2411,944,1382,2702,2199
1228,400,349,2101,1939,326
932,3459,569,3514,1041,2445
2562,1889,3122,2829,327,2231
2753,452,3513,2382,3258,785
3425,2150,2702,3441,1337,2619
164,2496,620,3297,2363,1922
1106,3511,348,1994,958,2532
701,2515,2166,1628,2578,3281
1795,926,3318,444,135,2234
2037,2349,2650,2589,1617,262
469,2879,64,1758,194,2162
2043,2617,1293,325,2156,2047
1024,3024,3388,146,3297,1922
2755,369,1610,2626,2377,1525
78,2291,398,2500,3232,2200
578,1688,432,1341,3090,2674
5,3515,403,2748,274,3233
2424,111,1410,2288,2381,2299
1028,1826,391,1569,770,2539
2014,1796,2271,471,957,1145
1105,2735,1468,2981,3133,1153
230,858,192,2245,3328,2779
1592,1212,842,2248,2798,1044
2820,1986,1275,1975,1412,690
2858,1877,2334,2077,2637,2293
2890,2263,2507,1452,1346,1005
793,1801,3503,426,167,1478
973,1761,618,716,99,3156
3145,1852,16,2816,3376,1811
3316,3029,3527,1082,2520,920
2857,1192,160,3392,238,1055
1672,3090,578,2191,159,2401
1849,1493,3375,1717,1762,744
651,1797,3003,1418,240,3313
823,2381,1447,3047,111,3407
2488,2144,1716,2419,874,3351
1786,1695,378,289,242,3480
849,3016,712,3129,477,2725
1693,289,3480,378,1040,510
2499,850,2307,40,3340,2688
998,3412,1911,2117,358,3332
3404,857,803,3049,1735,472
2937,127,2601,424,2167,1139
1167,1309,2086,2554,2253,2544
853,1757,2298,2737,2982,3136
387,2842,2654,1868,1095,1971
3371,1317,1894,931,2344,176
1871,646,1927,2889,2632,1170
2136,3167,1843,640,3249,3257
3405,208,1043,1973,2546,3059
1648,1255,609,1788,3002,2758
1420,2689,1500,1195,624,722
2141,80,3117,520,734,1538
